account_id,account_type,opened_days_ago,region,baseline_monthly_txn_count,baseline_avg_amount,dormancy_flag,true_label,all_roles
ACC00454,business,394,South,12.9,3801.23,0,normal,normal
ACC00455,individual,35,East,6.6,635.91,0,normal,normal
ACC00456,individual,883,North,14.2,9253.47,0,normal,normal
ACC00457,individual,169,West,15.1,20748.87,0,normal,normal
ACC00458,individual,225,North,11.1,12866.9,0,normal,normal
ACC00459,individual,472,Central,8.8,2808.95,0,layering_node,layering_node
ACC00460,individual,130,Central,12.6,15325.52,0,normal,normal
ACC00461,individual,640,South,10.5,1645.45,0,mule,mule
ACC00462,shell,453,East,16.4,4654.15,0,normal,normal
ACC00463,individual,216,West,13.5,2903.72,0,mule,mule
ACC00464,business,153,North,12.6,1795.8,0,normal,normal
ACC00465,individual,482,East,21.4,10467.53,0,normal,normal
ACC00466,business,161,Central,12.3,8927.95,0,mule,mule
ACC00467,individual,367,East,8.8,10106.89,0,normal,normal
ACC00468,business,719,North,10.3,3705.03,0,mule,mule
ACC00469,individual,683,East,7.2,6611.19,0,layering_node,layering_node
ACC00470,individual,296,Central,12.1,13207.69,0,normal,normal
ACC00471,shell,172,East,6.7,6633.02,0,normal,normal
ACC00472,business,177,West,17.9,30112.47,0,normal,normal
ACC00473,individual,672,East,13.0,3838.3,0,mule,mule
ACC00474,individual,595,West,12.8,12361.21,0,layering_node,layering_node
ACC00475,individual,123,East,18.6,4524.91,0,mule,mule
ACC00476,individual,142,Central,18.5,4836.72,0,mule,mule
ACC00477,individual,67,South,16.2,7206.32,0,normal,normal
ACC00478,individual,92,South,10.0,2576.82,0,normal,normal
ACC00479,individual,424,West,18.1,14255.83,0,mule,mule
ACC00480,individual,562,West,14.0,4832.23,0,mule,mule
ACC00481,individual,50,South,6.1,11286.65,0,normal,normal
ACC00482,individual,31,Central,13.4,4100.1,0,normal,normal
ACC00483,individual,554,Central,16.4,1915.65,0,normal,normal
ACC00484,individual,225,East,7.0,3058.19,0,normal,normal
ACC00485,individual,118,West,14.6,5573.1,0,layering_node,layering_node;mule
ACC00486,business,445,Central,15.2,10687.07,0,layering_node,layering_node;mule
ACC00487,individual,723,North,15.4,18581.42,0,mule,mule
ACC00488,individual,187,East,17.5,4517.59,0,mule,mule
ACC00489,individual,153,East,9.3,4612.97,0,normal,normal
ACC00490,business,760,South,15.5,3623.37,0,normal,normal
ACC00491,individual,734,West,15.7,7560.99,0,layering_node,layering_node;mule
ACC00492,individual,997,Central,7.3,10511.1,0,mule,mule
ACC00493,business,109,Central,13.8,17795.99,0,normal,normal
ACC00494,individual,93,East,11.9,3974.98,0,mule,mule
ACC00495,individual,283,West,6.7,2327.47,0,normal,normal
ACC00496,business,24,West,16.8,16275.71,0,mule,mule
ACC00497,business,71,West,11.5,4366.97,0,normal,normal
ACC00498,business,20,South,12.4,11084.63,0,mule,mule
ACC00499,individual,544,Central,7.4,5807.23,0,layering_node,layering_node;mule
ACC00500,individual,731,West,16.9,6979.73,0,mule,mule
ACC00501,business,264,South,1.0,7899.17,0,normal,normal
ACC00502,individual,181,North,14.6,12855.94,0,normal,normal
ACC00503,business,185,East,20.1,12338.01,0,mule,mule
ACC00504,individual,373,Central,12.4,1601.38,0,mule,mule
ACC00505,individual,155,Central,22.9,4345.43,0,mule,mule
ACC00506,shell,285,East,12.2,16099.37,0,normal,normal
ACC00507,individual,32,North,8.3,1950.78,0,normal,normal
ACC00508,individual,24,South,9.9,3026.93,0,mule,mule
ACC00509,shell,130,East,5.0,4637.01,0,mule,mule
ACC00510,individual,108,South,12.4,1771.73,0,mule,mule
ACC00511,individual,12,South,10.5,2902.97,0,normal,normal
ACC00512,business,264,South,2.6,5326.87,0,structuring_source,layering_node;structuring_source
ACC00513,business,161,North,13.1,2903.35,0,normal,normal
ACC00514,individual,137,North,17.4,4988.64,0,mule,mule
ACC00515,individual,373,South,8.5,1703.43,0,mule,mule
ACC00516,individual,168,West,13.3,7017.12,0,normal,normal
ACC00517,individual,121,Central,9.6,5446.65,0,normal,normal
ACC00518,individual,28,North,20.1,9207.63,0,normal,normal
ACC00519,individual,155,West,1.2,2970.82,0,normal,normal
ACC00520,individual,172,West,11.3,5186.41,0,normal,normal
ACC00521,individual,141,Central,12.8,6696.62,0,normal,normal
ACC00522,individual,144,South,11.5,4980.05,0,mule,mule
ACC00523,individual,743,West,16.8,6008.84,0,normal,normal
ACC00524,business,48,West,6.3,5302.81,0,mule,mule
ACC00525,individual,174,West,11.4,1316.47,0,normal,normal
ACC00526,individual,23,South,12.8,2393.78,0,mule,mule
ACC00527,individual,401,South,16.8,6627.85,0,layering_node,layering_node
ACC00528,individual,178,North,6.0,9352.58,0,normal,normal
ACC00529,individual,476,North,19.0,4125.6,0,mule,mule
ACC00530,business,594,West,11.3,8669.49,0,normal,normal
ACC00531,individual,271,South,18.5,1534.95,0,normal,normal
ACC00532,individual,359,South,6.5,3686.49,0,normal,normal
ACC00533,individual,56,Central,10.5,8482.52,0,normal,normal
ACC00534,individual,17,West,18.6,13055.68,0,normal,normal
ACC00535,individual,32,North,3.6,2795.85,0,mule,mule
ACC00536,individual,289,Central,5.8,3246.31,0,normal,normal
ACC00537,shell,191,South,8.0,6613.33,0,normal,normal
ACC00538,individual,18,North,14.7,4936.91,0,mule,mule
ACC00539,individual,21,West,11.6,3793.3,0,structuring_source,layering_node;mule;structuring_source
ACC00540,individual,17,South,10.7,15048.79,0,normal,normal
ACC00541,individual,701,West,15.5,3890.63,0,normal,normal
ACC00542,individual,535,Central,11.5,6723.75,0,normal,normal
ACC00543,individual,134,Central,6.0,5431.99,0,normal,normal
ACC00544,individual,244,Central,15.2,6978.51,0,normal,normal
ACC00545,individual,118,East,8.1,3182.45,0,normal,normal
ACC00546,individual,135,West,2.1,8296.07,0,normal,normal
ACC00547,individual,54,Central,22.4,2582.29,0,layering_node,layering_node;mule
ACC00548,individual,164,Central,17.5,19357.65,0,normal,normal
ACC00549,individual,77,West,9.7,4563.46,0,normal,normal
ACC00550,individual,244,Central,13.3,6818.43,0,mule,mule
ACC00551,individual,621,West,13.5,3736.28,0,normal,normal
ACC00552,individual,484,South,15.1,3794.37,0,normal,normal
ACC00553,business,58,West,13.9,4815.12,0,layering_node,layering_node
ACC00554,individual,607,West,3.1,11888.72,0,normal,normal
ACC00555,individual,78,East,9.0,12862.95,0,normal,normal
ACC00556,individual,213,South,17.3,5746.05,0,normal,normal
ACC00557,shell,167,East,14.6,7720.63,0,layering_node,layering_node
ACC00558,individual,947,Central,11.0,4420.94,0,mule,mule
ACC00559,business,183,West,15.0,627.49,0,normal,normal
ACC00560,individual,792,South,11.9,3744.48,0,normal,normal
ACC00561,individual,394,East,8.1,6535.06,0,normal,normal
ACC00562,individual,143,West,8.9,8988.27,0,layering_node,layering_node;mule
ACC00563,individual,957,North,16.8,7038.57,0,normal,normal
ACC00564,individual,14,East,15.6,7053.82,0,mule,mule
ACC00565,business,56,South,16.0,8333.21,0,layering_node,layering_node;mule
ACC00566,individual,445,East,13.8,10395.26,0,normal,normal
ACC00567,individual,210,East,11.2,2917.75,0,mule,mule
ACC00568,individual,30,East,8.0,3961.69,0,normal,normal
ACC00569,business,895,Central,2.5,5706.18,0,mule,mule
ACC00570,individual,218,North,15.3,9473.93,0,mule,mule
ACC00571,individual,32,South,4.0,2881.58,0,mule,mule
ACC00572,individual,108,South,16.1,4291.2,0,layering_node,layering_node;mule
ACC00573,individual,204,South,15.2,2064.24,0,normal,normal
ACC00574,shell,287,West,18.8,1966.14,0,mule,mule
ACC00575,individual,668,South,1.0,5589.78,0,normal,normal
ACC00576,individual,304,South,13.0,3483.72,0,mule,mule
ACC00577,individual,385,North,14.4,7001.15,0,normal,normal
ACC00578,individual,230,West,14.0,3441.72,0,mule,mule
ACC00579,individual,215,West,8.5,3690.44,0,normal,normal
ACC00580,individual,26,East,7.9,10772.17,0,layering_node,layering_node
ACC00581,individual,224,Central,10.4,5478.76,0,normal,normal
ACC00582,business,11,West,16.1,2678.49,0,normal,normal
ACC00583,individual,42,West,5.3,2769.77,0,normal,normal
ACC00584,business,122,North,13.3,5628.02,0,mule,mule
ACC00585,individual,732,South,14.0,4572.18,0,layering_node,layering_node
ACC00586,individual,358,West,1.0,4473.85,0,mule,mule
ACC00587,individual,375,West,16.8,11676.01,0,mule,mule
ACC00588,shell,439,Central,12.4,5642.72,0,normal,normal
ACC00589,individual,43,North,15.1,11415.41,0,normal,normal
ACC00590,individual,143,Central,12.0,7486.41,0,normal,normal
ACC00591,individual,193,West,9.2,2091.22,0,mule,mule
ACC00592,individual,26,West,9.7,13585.08,0,layering_node,layering_node
ACC00593,business,579,North,15.1,2214.58,0,layering_node,layering_node;mule
ACC00594,individual,646,East,15.4,2320.88,0,mule,mule
ACC00595,individual,114,East,13.9,2613.81,0,layering_node,layering_node
ACC00596,business,123,West,6.1,15519.79,0,layering_node,layering_node
ACC00597,individual,76,West,10.4,7496.8,1,mule,mule
ACC00598,individual,27,Central,12.2,2436.87,0,normal,normal
ACC00599,individual,551,Central,10.9,2450.27,0,mule,mule
ACC00600,individual,165,Central,24.1,8511.92,0,structuring_source,structuring_source
ACC00601,individual,197,South,12.1,7208.26,0,mule,mule
ACC00602,individual,122,West,15.6,8125.24,0,mule,mule
ACC00603,individual,1129,South,15.4,7437.35,0,mule,mule
ACC00604,individual,102,East,12.5,14534.99,0,normal,normal
ACC00605,individual,149,West,12.8,5093.0,0,mule,mule
ACC00606,business,17,West,12.9,5829.97,0,normal,normal
ACC00607,business,193,North,4.0,2751.91,0,mule,mule
ACC00608,individual,87,West,11.5,1555.84,0,normal,normal
ACC00609,business,202,East,12.1,5776.14,0,mule,mule
ACC00610,shell,33,West,5.7,3192.46,0,normal,normal
ACC00611,individual,55,South,18.4,7261.81,0,normal,normal
ACC00612,individual,57,West,14.5,10917.3,0,normal,normal
ACC00613,individual,346,South,7.9,2037.94,0,normal,normal
ACC00614,business,112,Central,16.9,4660.3,0,mule,mule
ACC00615,individual,29,Central,7.8,21219.53,0,layering_node,layering_node;mule
ACC00616,individual,960,North,4.0,5593.26,0,mule,mule
ACC00617,individual,351,West,11.0,3826.82,0,normal,normal
ACC00618,business,194,Central,1.0,14377.27,0,normal,normal
ACC00619,individual,64,Central,4.9,4077.92,0,mule,mule
ACC00620,individual,566,North,9.9,7420.39,0,normal,normal
ACC00621,shell,75,North,4.0,6792.14,0,mule,mule
ACC00622,individual,280,West,12.9,3092.12,0,layering_node,layering_node;mule
ACC00623,shell,73,South,14.1,4981.09,0,mule,mule
ACC00624,business,62,West,21.0,4299.99,0,normal,normal
ACC00625,individual,317,South,7.2,6840.97,0,normal,normal
ACC00626,individual,453,North,10.4,4912.33,0,normal,normal
ACC00627,individual,142,East,5.7,7503.77,0,normal,normal
ACC00628,individual,575,West,9.6,5920.14,1,mule,mule
ACC00629,individual,18,East,22.5,4134.34,0,normal,normal
ACC00630,individual,112,South,15.7,4329.22,0,normal,normal
ACC00631,shell,23,West,8.8,12393.32,0,normal,normal
ACC00632,individual,431,East,2.7,9949.32,0,normal,normal
ACC00633,business,96,East,2.1,9180.33,0,normal,normal
ACC00634,individual,92,West,12.1,2520.58,0,structuring_source,structuring_source
ACC00635,individual,21,East,10.0,7945.99,0,normal,normal
ACC00636,shell,271,West,21.9,1644.24,0,mule,mule
ACC00637,individual,436,East,7.5,1936.78,0,normal,normal
ACC00638,business,888,North,11.1,9368.94,0,normal,normal
ACC00639,business,204,West,4.7,4873.35,0,mule,mule
ACC00640,individual,71,North,16.4,3660.91,0,normal,normal
ACC00641,individual,32,Central,1.0,5649.17,0,mule,mule
ACC00642,business,552,North,18.2,2322.18,0,layering_node,layering_node;mule
ACC00643,business,328,East,3.1,6147.23,0,mule,mule
ACC00644,individual,21,South,13.7,3494.48,0,mule,mule
ACC00645,individual,171,North,8.6,5033.68,0,mule,mule
ACC00646,shell,86,North,6.6,2298.29,0,mule,mule
ACC00647,individual,10,North,15.4,2199.19,0,normal,normal
ACC00648,business,576,South,3.4,3058.58,0,mule,mule
ACC00649,individual,384,South,9.7,6791.61,0,normal,normal
ACC00650,individual,706,North,9.0,13301.86,0,normal,normal
ACC00651,individual,334,Central,12.4,2791.16,0,normal,normal
ACC00652,individual,64,South,14.1,13109.85,0,normal,normal
ACC00653,shell,23,South,15.3,1716.16,0,normal,normal
ACC00654,individual,385,South,10.1,5855.52,0,mule,mule
ACC00655,individual,223,West,15.0,4323.25,0,normal,normal
ACC00656,business,368,North,10.4,17268.65,0,normal,normal
ACC00657,business,365,Central,15.3,6601.89,0,mule,mule
ACC00658,individual,503,South,9.2,2275.36,0,mule,mule
ACC00659,individual,1162,West,14.2,8478.22,0,normal,normal
ACC00660,business,257,East,12.0,7848.83,0,mule,mule
ACC00661,individual,63,East,15.5,8905.03,0,normal,normal
ACC00662,individual,17,South,4.4,3827.93,0,normal,normal
ACC00663,individual,519,Central,14.5,5089.03,0,normal,normal
ACC00664,individual,220,Central,15.5,6599.05,0,layering_node,layering_node;mule
ACC00665,individual,492,North,1.2,10593.62,0,mule,mule
ACC00666,individual,611,South,9.6,2686.67,0,mule,mule
ACC00667,individual,625,East,17.3,7569.67,0,normal,normal
ACC00668,individual,304,North,18.1,5900.99,0,normal,normal
ACC00669,business,13,Central,10.2,5433.68,0,normal,normal
ACC00670,individual,111,North,6.9,1906.7,0,normal,normal
ACC00671,individual,131,East,8.9,14380.23,0,mule,mule
ACC00672,individual,469,Central,9.3,1487.5,0,mule,mule
ACC00673,individual,131,West,11.2,3348.27,0,normal,normal
ACC00674,business,317,West,17.6,13547.39,0,normal,normal
ACC00675,individual,172,South,9.9,5896.98,0,mule,mule
ACC00676,individual,107,North,13.7,4750.21,0,mule,mule
ACC00677,individual,229,Central,10.8,2573.54,0,normal,normal
ACC00678,business,375,South,2.8,2564.05,0,layering_node,layering_node
ACC00679,individual,102,North,11.6,1781.57,0,normal,normal
ACC00680,individual,111,East,13.0,5159.22,0,normal,normal
ACC00681,individual,34,Central,9.3,4063.67,0,normal,normal
ACC00682,individual,303,North,5.5,8785.1,0,normal,normal
ACC00683,individual,1015,Central,16.1,2200.01,0,normal,normal
ACC00684,individual,292,North,6.4,2585.69,0,normal,normal
ACC00685,individual,613,East,14.8,6237.98,0,normal,normal
ACC00686,individual,275,Central,17.2,11144.63,0,normal,normal
ACC00687,individual,14,West,4.3,7044.33,0,layering_node,layering_node
ACC00688,individual,958,East,17.6,3889.93,0,mule,mule
ACC00689,individual,344,North,11.9,4350.09,0,normal,normal
ACC00690,individual,423,Central,11.3,8762.47,0,normal,normal
ACC00691,individual,180,East,20.7,12926.28,0,mule,mule
ACC00692,individual,93,North,9.5,5910.24,0,mule,mule
ACC00693,individual,639,West,8.1,3030.92,0,mule,mule
ACC00694,individual,95,West,11.7,2977.88,0,normal,normal
ACC00695,business,289,North,9.1,5811.44,0,normal,normal
ACC00696,shell,556,West,14.5,6839.03,0,mule,mule
ACC00697,business,245,East,14.4,2066.55,0,mule,mule
ACC00698,business,411,West,8.2,5047.04,0,mule,mule
ACC00699,individual,770,South,17.4,25711.94,0,layering_node,layering_node
ACC00700,individual,147,West,13.5,8144.46,0,normal,normal
